ticker,company,sector
4DX,4DMedical,Healthcare
A2M,a2 Milk Company,Consumer Staples
AAI,Alcoa,Materials
AFI,Australian Foundation Investment Company,Financials
AGL,AGL Energy,Utilities
AIA,Auckland International Airport Limited,Industrials
ALD,Ampol,Energy
ALK,Alkane Resources,Materials
ALL,Aristocrat Leisure,Consumer Discretionary
ALQ,ALS,Industrials
ALX,Atlas Arteria,Industrials
AMC,Amcor,Materials
AMP,AMP,Financials
ANN,Ansell,Healthcare
ANZ,Australia & New Zealand Banking Group,Financials
APA,APA Group,Utilities
APE,Eagers Automotive,Consumer Discretionary
ARB,ARB Corporation,Consumer Discretionary
ARG,Argo Investments,Financials
ASB,Austal,Industrials
ASK,Abacus Storage King,Real Estate
ASX,ASX,Financials
AUB,AUB Group,Financials
AZJ,Aurizon,Industrials
BEN,Bendigo & Adelaide Bank,Financials
BFL,BSP Financial Group,Financials
BGA,Bega Cheese,Consumer Staples
BGL,Bellevue Gold,Materials
BHP,BHP,Materials
BOQ,Bank of Queensland,Financials
BPT,Beach Energy,Energy
BRG,Breville Group,Consumer Discretionary
BSL,BlueScope,Materials
BWP,BWP Trust,Real Estate
BXB,Brambles,Industrials
CAR,CAR Group,Communication Services
CBA,Commonwealth Bank,Financials
CDA,Codan,Information Technology
CEN,Contact Energy,Utilities
CGF,Challenger,Financials
CHC,Charter Hall,Real Estate
CIA,Champion Iron,Materials
CIP,Centuria Industrial REIT,Real Estate
CLW,Charter Hall Long WALE REIT,Real Estate
CMM,Capricorn Metals,Materials
CNU,Chorus,Communication Services
COH,Cochlear,Healthcare
COL,Coles Group,Consumer Staples
CPU,Computershare,Information Technology
CQR,Charter Hall Retail REIT,Real Estate
CSC,Capstone Copper,Materials
CSL,CSL,Healthcare
CTD,Corporate Travel Management,Consumer Discretionary
CWY,Cleanaway,Industrials
CYL,Catalyst Metals,Materials
DBI,Dalrymple Bay Infrastructure,Industrials
DNL,Dyno Nobel,Materials
DOW,Downer Group,Industrials
DRO,Droneshield,Industrials
DRR,Deterra Royalties,Materials
DXS,Dexus,Real Estate
DYL,Deep Yellow,Energy
EBO,EBOS Group,Healthcare
EDV,Endeavour Group,Consumer Staples
EMR,Emerald Resources,Materials
EOS,Electro Optic Systems Holdings,Industrials
EVN,Evolution Mining,Materials
EVT,EVT,Communication Services
FBU,Fletcher Building,Industrials
FLT,Flight Centre Travel Group,Consumer Discretionary
FMG,Fortescue,Materials
FPH,Fisher & Paykel Healthcare,Healthcare
FRW,Freightways Group,Industrials
GDG,Generation Development Group,Financials
GGP,Greatland Resources,Materials
GMD,Genesis Minerals,Materials
GMG,Goodman Group,Real Estate
GNE,Genesis Energy,Utilities
GPT,GPT Group,Real Estate
GQG,GQG Partners,Financials
HDN,HomeCo Daily Needs REIT,Real Estate
HUB,HUB24,Financials
