ticker,company,sector
XYZ,"BLOCK, INC.",Financial Services
NWSLV,NEWS CORPORATION..,Media & Entertainment
DPM,DPM METALS INC.,Materials
360,LIFE360 INC.,Software & Services
AII,ALMONTY INDUSTRIES INC.,Materials
MP1,MEGAPORT LIMITED,Software & Services
ATM,PT ANTAM (PERSERO) TBK,Materials
PAF,PAN AFRICAN RESOURCES PLC,Class Pend
SRL,SUNRISE ENERGY METALS LIMITED,Materials
SX2,SOUTHERN CROSS GOLD CONSOLIDATED LTD.,Materials
TEA,TASMEA LIMITED,Capital Goods
AUI,AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED,Not Applic
SRG,SRG GLOBAL LIMITED,Capital Goods
DDR,DICKER DATA LIMITED,Technology Hardware & Equipment
NEU,NEUREN PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
GYG,GUZMAN Y GOMEZ LIMITED,Consumer Services
MGH,MAAS GROUP HOLDINGS LIMITED,Capital Goods
DVP,DEVELOP GLOBAL LIMITED,Materials
MAH,MACMAHON HOLDINGS LIMITED,Materials
GNP,GENUSPLUS GROUP LTD,Capital Goods
WBT,WEEBIT NANO LTD,Semiconductors & Semiconductor Equipment
INA,INGENIA COMMUNITIES GROUP,Equity Real Estate Investment Trusts (REITs)
CBO,COBRAM ESTATE OLIVES LIMITED,"Food, Beverage & Tobacco"
GLF,GEMLIFE COMMUNITIES GROUP,Real Estate Management & Development
CNI,CENTURIA CAPITAL GROUP,Equity Real Estate Investment Trusts (REITs)
ELV,ELEVRA LITHIUM LIMITED,Materials
ELS,ELSIGHT LIMITED,Technology Hardware & Equipment
SIQ,SMARTGROUP CORPORATION LTD,Commercial & Professional Services
MAQ,MACQUARIE TECHNOLOGY GROUP LIMITED,Software & Services
SKG,STORAGE KING GROUP,Equity Real Estate Investment Trusts (REITs)
GOZ,GROWTHPOINT PROPERTIES AUSTRALIA,Equity Real Estate Investment Trusts (REITs)
MAD,MADER GROUP LIMITED,Commercial & Professional Services
SLC,SUPERLOOP LIMITED,Telecommunication Services
SLX,SILEX SYSTEMS LIMITED,Capital Goods
WPR,WAYPOINT REIT,Equity Real Estate Investment Trusts (REITs)
ORE,OREZONE GOLD CORPORATION,Materials
PGF,PM CAPITAL GLOBAL OPPORTUNITIES FUND LIMITED,Not Applic
TBN,TAMBORAN RESOURCES CORPORATION,Energy
SSM,SERVICE STREAM LIMITED,Capital Goods
HLI,HELIA GROUP LIMITED,Financial Services
PYC,PYC THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
DMP,DOMINO'S PIZZA ENTERPRISES LIMITED,Consumer Services
AXQ,"AURA CONSOLIDATED GROUP, INC.",Class Pend
LIN,LINDIAN RESOURCES LIMITED,Materials
NEC,NINE ENTERTAINMENT CO. HOLDINGS LIMITED,Media & Entertainment
NGI,NAVIGATOR GLOBAL INVESTMENTS LIMITED,Financial Services
ABB,AUSSIE BROADBAND LIMITED,Telecommunication Services
BKI,BKI INVESTMENT COMPANY LIMITED,Not Applic
DTL,DATA#3 LIMITED,Software & Services
ARU,ARAFURA RARE EARTHS LTD,Materials
EQR,EQ RESOURCES LIMITED,Materials
DGT,DIGICO INFRASTRUCTURE REIT,Class Pend
MI6,MINERALS 260 LIMITED,Materials
SNL,SUPPLY NETWORK LIMITED,Consumer Discretionary Distribution & Retail
FFM,FIREFLY METALS LTD,Materials
NCK,NICK SCALI LIMITED,Consumer Discretionary Distribution & Retail
VUL,VULCAN ENERGY RESOURCES LIMITED,Materials
SXE,SOUTHERN CROSS ELECTRICAL ENGINEERING LTD,Capital Goods
MMS,MCMILLAN SHAKESPEARE LIMITED,Commercial & Professional Services
KCN,KINGSGATE CONSOLIDATED LIMITED.,Materials
GCI,GRYPHON CAPITAL INCOME TRUST,Not Applic
ARF,ARENA REIT.,Equity Real Estate Investment Trusts (REITs)
IPX,IPERIONX LIMITED,Materials
AVR,ANTERIS TECHNOLOGIES GLOBAL CORP.,Health Care Equipment & Services
MAF,MA FINANCIAL GROUP LIMITED,Financial Services
MLX,METALS X LIMITED,Materials
RPL,REGAL PARTNERS LIMITED,Financial Services
UOS,UNITED OVERSEAS AUSTRALIA LIMITED,Real Estate Management & Development
EIQ,ECHOIQ LIMITED,Software & Services
HMC,HMC CAPITAL LIMITED,Financial Services
BCI,BCI MINERALS LIMITED,Materials
ELD,ELDERS LIMITED,"Food, Beverage & Tobacco"
KLS,KELSIAN GROUP LIMITED,Transportation
IRE,IRESS LIMITED,Software & Services
APZ,ASPEN GROUP,Equity Real Estate Investment Trusts (REITs)
