ticker,company,sector
10X,EXULTANT MINING LIMITED,Materials
14D,1414 DEGREES LIMITED,Capital Goods
1AD,ADALTA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
1AE,AURORA ENERGY METALS LIMITED,Materials
1AI,ALGORAE PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
1CG,ONE CLICK GROUP LIMITED,Capital Goods
1MC,MORELLA CORPORATION LIMITED,Materials
1TT,THRIVE TRIBE TECHNOLOGIES LIMITED,Software & Services
29M,29METALS LIMITED,Materials
360,LIFE360 INC.,Software & Services
3DA,AMAERO INC.,Capital Goods
3DP,POINTERRA LIMITED,Software & Services
3PL,3P LEARNING LIMITED..,Consumer Services
49M,49 METALS LIMITED,Materials
4DS,4DS MEMORY LIMITED,Semiconductors & Semiconductor Equipment
4DX,4DMEDICAL LIMITED,Health Care Equipment & Services
5GG,PENTANET LIMITED,Telecommunication Services
5GN,5G NETWORKS LIMITED.,Software & Services
6KA,"6K ADDITIVE, INC.",Materials
88E,88 ENERGY LIMITED,Energy
8CO,8COMMON LIMITED,Software & Services
8IH,8I HOLDINGS LTD,Financial Services
A11,ATLANTIC LITHIUM LIMITED,Materials
A1M,AIC MINES LIMITED,Materials
A1N,ARN MEDIA LIMITED,Media & Entertainment
A2M,THE A2 MILK COMPANY LIMITED,"Food, Beverage & Tobacco"
A3D,AURORA LABS LIMITED,Capital Goods
A4N,ALPHA HPA LIMITED,Materials
A8G,AUSTRALASIAN METALS LIMITED,Materials
AA2,ARIANA RESOURCES PLC,Materials
AAC,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,"Food, Beverage & Tobacco"
AAI,ALCOA CORPORATION,Materials
AAJ,ARUMA RESOURCES LIMITED,Materials
AAL,ALFABS AUSTRALIA LIMITED,Capital Goods
AAM,AUMEGA METALS LTD,Materials
AAP,AUSTRALIAN AGRICULTURAL PROJECTS LIMITED,"Food, Beverage & Tobacco"
AAR,ASTRAL RESOURCES NL,Materials
AAU,ANTILLES GOLD LIMITED,Materials
ABB,AUSSIE BROADBAND LIMITED,Telecommunication Services
ABE,AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED,Financial Services
ABG,ABACUS GROUP,Equity Real Estate Investment Trusts (REITs)
ABR,ALBRIGHT METALS LTD,Materials
ABV,ADVANCED BRAKING TECHNOLOGY LTD,Automobiles & Components
ABX,ABX GROUP LIMITED,Materials
ABY,ADORE BEAUTY GROUP LIMITED,Consumer Discretionary Distribution & Retail
ACE,ACUSENSUS LIMITED.,Software & Services
ACF,ACROW LIMITED,Capital Goods
ACL,AUSTRALIAN CLINICAL LABS LIMITED,Health Care Equipment & Services
ACM,AUSTRALIAN CRITICAL MINERALS LIMITED,Materials
ACP,AUDALIA RESOURCES LIMITED,Materials
ACQ,ACORN CAPITAL INVESTMENT FUND LIMITED,Not Applic
ACR,ACRUX LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
ACS,ACCENT RESOURCES NL,Materials
ACU,ACUMENTIS GROUP LIMITED,Real Estate Management & Development
ACW,ACTINOGEN MEDICAL LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
AD1,ADNEO LIMITED,Media & Entertainment
AD8,AUDINATE GROUP LIMITED,Technology Hardware & Equipment
ADC,ACDC METALS LTD,Materials
ADD,ADAVALE RESOURCES LIMITED,Energy
ADH,ADAIRS LIMITED,Consumer Discretionary Distribution & Retail
ADN,ANDROMEDA METALS LIMITED,Materials
ADO,ANTEOTECH LTD,"Pharmaceuticals, Biotechnology & Life Sciences"
ADR,ADHERIUM LIMITED,Health Care Equipment & Services
ADS,ADSLOT LTD.,Software & Services
ADX,ADX ENERGY LTD,Energy
ADY,ADMIRALTY RESOURCES NL.,Materials
AEE,AURA ENERGY LIMITED,Energy
AEF,AUSTRALIAN ETHICAL INVESTMENT LIMITED,Financial Services
AEG,ALAND EQUITY GROUP LIMITED,Financial Services
AEI,AERIS ENVIRONMENTAL LTD,Commercial & Professional Services
AEL,AMPLITUDE ENERGY LIMITED,Energy
AEM,ADVANCED ENERGY MINERALS LTD,Materials
AER,AEERIS LTD,Media & Entertainment
AEU,ATOMIC EAGLE LTD,Materials
AEV,AVENIRA LIMITED,Materials
AFA,ASF GROUP LIMITED,Financial Services
AFG,AUSTRALIAN FINANCE GROUP LTD,Financial Services
AFI,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,Not Applic
AFL,AF LEGAL GROUP LTD,Commercial & Professional Services
AFP,AFT PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
AGC,AUSTRALIAN GOLD AND COPPER LTD,Materials
AGD,AUSTRAL GOLD LIMITED,Materials
AGE,ALLIGATOR ENERGY LIMITED,Energy
AGI,AINSWORTH GAME TECHNOLOGY LIMITED,Consumer Services
AGL,AGL ENERGY LIMITED.,Utilities
AGN,ARGENICA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
AGR,AGUIA RESOURCES LIMITED,Materials
AGY,ARGOSY MINERALS LIMITED,Materials
AHC,AUSTCO HEALTHCARE LIMITED,Health Care Equipment & Services
AHE,ADHERIS HEALTH LIMITED,Health Care Equipment & Services
AHF,AUSTRALIAN DAIRY NUTRITIONALS LIMITED,"Food, Beverage & Tobacco"
AHK,ARK MINES LIMITED,Materials
AHL,ADRAD HOLDINGS LIMITED,Automobiles & Components
AHNDA,ATHENA RESOURCES LIMITED,Materials
AI1,ADISYN LTD,Software & Services
AIA,AUCKLAND INTERNATIONAL AIRPORT LIMITED,Transportation
AIH,ADVANCED INNERGY HOLDINGS LIMITED,Capital Goods
AII,ALMONTY INDUSTRIES INC.,Materials
AIM,AI-MEDIA TECHNOLOGIES LIMITED,Software & Services
AIQ,ALTERNATIVE INVESTMENT TRUST,Not Applic
AIS,AERIS RESOURCES LIMITED,Materials
AIV,ACTIVEX LIMITED,Materials
AIX,AI PRIVATE OPPORTUNITIES TRUST,Not Applic
AIZ,AIR NEW ZEALAND LIMITED,Transportation
AJL,AJ LUCAS GROUP LIMITED,Capital Goods
AJX,ALEXIUM INTERNATIONAL GROUP LIMITED,Materials
AKA,AUREKA LIMITED,Materials
AKG,ACADEMIES AUSTRALASIA GROUP LIMITED,Consumer Services
AKM,ASPIRE MINING LIMITED,Materials
AKN,AUKING MINING LIMITED,Materials
AKO,AKORA RESOURCES LIMITED,Materials
AL3,AML3D LIMITED,Capital Goods
ALA,AROVELLA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
ALB,ALBION RESOURCES LIMITED,Materials
ALC,ALCIDION GROUP LIMITED,Health Care Equipment & Services
ALD,AMPOL LIMITED,Energy
ALI,ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED,Not Applic
ALK,ALKANE RESOURCES LIMITED,Materials
ALL,ARISTOCRAT LEISURE LIMITED,Consumer Services
ALM,ALMA METALS LIMITED,Energy
ALQ,ALS LIMITED,Commercial & Professional Services
ALR,ALTAIR MINERALS LIMITED,Materials
ALV,ALVO MINERALS LIMITED,Materials
ALX,ATLAS ARTERIA,Transportation
ALY,ALCHEMY RESOURCES LIMITED,Materials
AM3,AMARA MINERALS LIMITED,Materials
AM5,ANTARES METALS LIMITED,Materials
AM7,ARCADIA MINERALS LIMITED,Materials
AMA,AMA GROUP LIMITED,Commercial & Professional Services
AMC,AMCOR PLC,Materials
AMD,ARROW MINERALS LTD,Materials
AMH,AMCIL LIMITED,Not Applic
AMI,AURELIA METALS LIMITED,Materials
AMN,AGRIMIN LIMITED,Materials
AMO,AMBERTECH LIMITED,Technology Hardware & Equipment
AMP,AMP LIMITED,Financial Services
AMS,ATOMOS LIMITED,Consumer Durables & Apparel
AMU,AMERICAN URANIUM LTD,Materials
AMUNA,AMERICAN URANIUM LTD,Materials
AMX,AEROMETREX LIMITED,Commercial & Professional Services
AN1,ANAGENICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
ANG,AUSTIN ENGINEERING LIMITED,Capital Goods
ANN,ANSELL LIMITED,Health Care Equipment & Services
ANO,ADVANCE ZINCTEK LIMITED,Materials
ANR,ANATARA LIFESCIENCES LTD,"Pharmaceuticals, Biotechnology & Life Sciences"
ANX,ANAX METALS LIMITED,Materials
ANZ,ANZ GROUP HOLDINGS LIMITED,Banks
AOA,AUSMON RESOURCES LIMITED,Materials
AOK,AUSTRALIAN OIL COMPANY LIMITED.,Energy
AON,APOLLO MINERALS LIMITED,Materials
AOV,AMOTIV LIMITED,Automobiles & Components
APA,APA GROUP,Utilities
APC,APC MINERALS LIMITED,Materials
APE,EAGERS AUTOMOTIVE LIMITED,Consumer Discretionary Distribution & Retail
APL,ASSOCIATE GLOBAL PARTNERS LIMITED,Financial Services
APW,AIMS PROPERTY SECURITIES FUND,Equity Real Estate Investment Trusts (REITs)
APX,APPEN LIMITED,Software & Services
APZ,ASPEN GROUP,Equity Real Estate Investment Trusts (REITs)
AQC,AUSTRALIAN PACIFIC COAL LIMITED,Materials
AQD,AUSQUEST LIMITED,Materials
AQN,AQUIRIAN LIMITED,Commercial & Professional Services
AQX,ALICE QUEEN LIMITED,Materials
AQZ,ALLIANCE AVIATION SERVICES LIMITED,Transportation
AR1,AUSTRAL RESOURCES AUSTRALIA LTD,Materials
AR3,AUSTRALIAN RARE EARTHS LIMITED,Materials
AR9,ARCHTIS LIMITED,Software & Services
ARA,ARIADNE AUSTRALIA LIMITED,Commercial & Professional Services
ARB,ARB CORPORATION LIMITED.,Automobiles & Components
ARC,ARC FUNDS LIMITED,Financial Services
ARD,ARGENT MINERALS LIMITED,Materials
ARF,ARENA REIT.,Equity Real Estate Investment Trusts (REITs)
ARG,ARGO INVESTMENTS LIMITED,Not Applic
ARI,ARIKA RESOURCES LIMITED,Materials
ARL,ARDEA RESOURCES LIMITED,Materials
ARN,ALDORO RESOURCES LIMITED,Materials
ARR,AMERICAN RARE EARTHS LIMITED,Materials
ART,AIRTASKER LIMITED,Media & Entertainment
ARU,ARAFURA RARE EARTHS LTD,Materials
ARV,ARTEMIS RESOURCES LIMITED,Materials
ARX,AROA BIOSURGERY LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
AS1,ASARA RESOURCES LIMITED,Materials
AS2,ASKARI METALS LIMITED,Materials
ASB,AUSTAL LIMITED,Capital Goods
ASG,AUTOSPORTS GROUP LIMITED.,Consumer Discretionary Distribution & Retail
ASH,ASHLEY SERVICES GROUP LIMITED,Commercial & Professional Services
ASL,ANDEAN SILVER LIMITED,Materials
ASM,AUSTRALIAN STRATEGIC MATERIALS LIMITED,Materials
ASN,ANSON RESOURCES LIMITED,Materials
ASP,ASPERMONT LIMITED.,Media & Entertainment
ASQ,AUSTRALIAN SILICA QUARTZ GROUP LTD,Materials
ASV,ASSET VISION CO LTD,Commercial & Professional Services
ASX,ASX LIMITED,Financial Services
AT1,ATOMO DIAGNOSTICS LIMITED,Health Care Equipment & Services
AT4,AMERICAN TUNGSTEN & ANTIMONY LTD,Materials
ATA,ATTURRA LIMITED,Software & Services
ATC,ALTECH BATTERIES LTD,Materials
ATG,ARTICORE GROUP LIMITED,Consumer Discretionary Distribution & Retail
ATH,ALTERITY THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
ATM,PT ANTAM (PERSERO) TBK,Materials
ATP,ATLAS PEARLS LTD,Consumer Durables & Apparel
ATR,ASTRON LIMITED,Materials
ATS,AUSTRALIS OIL & GAS LIMITED,Energy
ATT,ALTITUDE MINERALS LTD,Materials
ATV,ACTIVEPORT GROUP LTD,Software & Services
ATX,AMPLIA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
AU1,THE AGENCY GROUP AUSTRALIA LTD,Real Estate Management & Development
AUA,AUDEARA LIMITED,Consumer Durables & Apparel
AUB,AUB GROUP LIMITED,Insurance
AUC,AUSGOLD LIMITED,Materials
AUE,AURUM RESOURCES LIMITED,Materials
AUG,AUGUSTUS MINERALS LIMITED,Materials
